model,rank,penalty,cv_interval_MAE,fit_success,fit_sigma,official_test_interval_aware_MAE,official_test_exact_n,official_test_exact_MAE,official_test_exact_RMSE,official_test_exact_R2,official_test_exact_Spearman_rho
static_rbf,40,0.1,1.981585617667775,True,1.831536952004065,2.504009400840113,40,2.6381616395443563,3.305288894135728,-0.20797984925540436,0.36078799249530963
li_wasserstein,10,0.0001,1.6214684870855443,True,2.1226007516086405,2.0817442177977594,40,2.0902741366812077,2.4694928290659943,0.3256950003946436,0.3169004178166118
static_plus_li_wasserstein,20,0.0001,1.5384921611759477,True,1.800730913774853,1.9652011249589185,40,2.1706044848198407,2.80149880384955,0.13219584792941508,0.44052532833020647
